name,website,company_size,industry,headquarters_city,headquarters_country,type,year_founded,followers,about_us,Lang_1,Lang_2,Lang_3,Lang_4,Lang_5,Projects in their portfolio,rating,review_count,service_1,service_2,service_3,service_4,service_5,service_6,service_7,service_8,service_9,service_10,service_11,service_12,service_13,service_14,service_15,service_16,service_17,service_18,service_19,service_20,service_21,service_22,service_23,service_24
Ofspace – Product Design for Scalable Startups,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fofspace%2Eco&urlhash=yyML&trk=about_website,125.5,Design Services,Philadelphia,WILMINGTON,Partnership,2019.0,4691,"You’ve got traction. Users are signing up. But the UX? Still feels off.

That’s where Ofspace comes in.

We partner with fast-moving SaaS and AI startups to fix the design problems that slow growth, hurt conversions, and frustrate users.

This isn’t about making things pretty—it’s about making them work.
From onboarding drop-offs to clunky flows, we redesign the experience around what actually drives retention, activation, and scale.

Whether you're just post-MVP or gearing up for Series A, we help you:

- Pinpoint friction
- Reduce churn
- Ship a UX that feels as good as your product sounds

Fast, lean, and strategy-first.

Want quick wins?
Drop your link—we’ll share a few free, actionable UX fixes.",,,,,,,,,ux design,ui design,app design,design agency,webite design,web app design,ios development,android development,react js,saas,b2b,b2c,mobile app,branding,graphic design,ai,startups,product design,bridentity,brdesign,ui/ux design,,,
Dysarium,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Edysarium%2Ecom%2F&urlhash=HYOH&trk=about_website,6.0,Освіта,Lviv,Lviv Oblast,Некомерційна організація,,0,"The largest design conference in Ukraine 🇺🇦

⚡️ October 5
📍Lviv, !FESTrepublic
✊Entrance is free 

ᅠBy Pixlab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emperor,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Femperor%2Eworks&urlhash=yNyE&trk=about_website,350.5,Design Services,Aldgate,England,Partnership,1996.0,12731,"Emperor is a Certified B Corporation® and one of the UK's leading employee-owned creative communications agencies. We help our clients connect with their stakeholders to achieve great things.

Emperor is here to turn ambition into success through the power of clear, confident and consistent communications. Through our knowledge, we enable our clients to enrich relationships, build understanding, shape behaviour and deliver better business.  

Whatever their ambitions. Wherever they are in the business lifecycle, whether they’re taking baby steps or making giant leaps, we can offer strategic expertise, outstanding creative and the very best client service from a unique national presence. 

We’re decent, fun and friendly people to work and spend time with. 

Let’s talk about your great ambitions.",,,,,,,,,reporting,brand,sustainability,employee engagement,,,,,,,,,,,,,,,,,,,,
Huge,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ehugeinc%2Ecom&urlhash=zWR4&trk=about_website,3000.5,Business Consulting and Services,Brooklyn,NY,Public Company,,223615,We are a design and technology company. We create innovative products and experiences that drive growth and efficiency for the world’s most ambitious brands.,,,,,,,,,business strategy,branding brexperience,data science,research,user experience design,creative,technology,content,social media & communications,user relationship management,business consulting,innovation strategy,growth creation,product development,web3,experience innovation,,,,,,,,
Master Creationz - Global UI UX Design Studio,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fmastercreationz%2Ecom&urlhash=jEP_&trk=about_website,30.5,Design Services,Sahibzada Ajit Singh Nagar,Punjab_India,Partnership,2015.0,3039,"𝐁𝐮𝐢𝐥𝐝𝐢𝐧𝐠 𝐁𝐫𝐚𝐧𝐝𝐬, 𝐏𝐫𝐨𝐝𝐮𝐜𝐭𝐬 & 𝐃𝐢𝐠𝐢𝐭𝐚𝐥 𝐄𝐱𝐩𝐞𝐫𝐢𝐞𝐧𝐜𝐞𝐬 𝐓𝐡𝐚𝐭 𝐈𝐧𝐬𝐩𝐢𝐫𝐞

Master Creationz is a global branding and UX design agency.
We partner with startups, enterprises, and visionary brands to create transformative digital experiences and iconic brand identities. By blending design, technology, and storytelling, we craft digital products, websites, and brands that connect deeply with audiences and drive measurable results.

Our passion lies in creating human-centered experiences that are not only beautiful but also functional and impactful.

𝐎𝐮𝐫 𝐒𝐞𝐫𝐯𝐢𝐜𝐞𝐬
𝑼𝒔𝒆𝒓 𝑬𝒙𝒑𝒆𝒓𝒊𝒆𝒏𝒄𝒆 & 𝑷𝒓𝒐𝒅𝒖𝒄𝒕 𝑫𝒆𝒔𝒊𝒈𝒏
We design and develop seamless, intuitive digital products and experiences. From websites and apps to complex enterprise platforms, our focus is always on the user.

𝑩𝒓𝒂𝒏𝒅 𝑬𝒙𝒑𝒆𝒓𝒊𝒆𝒏𝒄𝒆 & 𝑾𝒆𝒃 𝑫𝒆𝒔𝒊𝒈𝒏
We create distinctive brand identities and immersive digital experiences that help brands stand out, tell their stories, and build lasting relationships.

3𝑫, 𝑴𝒐𝒕𝒊𝒐𝒏 & 𝑺𝒕𝒐𝒓𝒚𝒕𝒆𝒍𝒍𝒊𝒏𝒈
We bring brands to life with motion design, 3D/2D animations, and storytelling that captivate and engage.

𝐂𝐚𝐩𝐚𝐛𝐢𝐥𝐢𝐭𝐢𝐞𝐬
UI/UX Design & Development, Product Strategy & Prototyping, Web Design & Development, Brand Strategy & Identity Design, Mobile App & Enterprise UX, Motion Design & Video Production, 3D & 2D Design, Illustration & Animation, Interaction Design & Micro-Animations, E-commerce & Responsive Web Design, Design Systems & Style Guides, User Research & User Testing, Frontend & Backend Development, Analytics, Optimization & Conversion

𝐋𝐞𝐭’𝐬 𝐁𝐮𝐢𝐥𝐝 𝐖𝐡𝐚𝐭’𝐬 𝐍𝐞𝐱𝐭
Looking to create bold brands and digital experiences that move people?
📧 Connect with us — hi@mastercreationz.com",,,,,,,,,web design,ux designs,app designs,graphics,ui/ux design,landingapge,motion design,saasdesign,app design,ux design,motion graphics,healthcare product design,3d,2d,animation,intro video,product design,digital products,ui/ux,,,,,
f1Studioz - Enterprise UX / UI Design Company,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Ff1studioz%2Ecom&urlhash=XJjI&trk=about_website,125.5,Design Services,Bengaluru,Karnataka_India,Privately Held,2012.0,25060,"f1studioz is a leading Experience Design and Product Strategy firm. Our core belief lies in Humanizing Digital Experiences for our Global Businesses and helping them go from x to 10x with a focus on long-term Engagement & Conversions.  

Our insane love for UX and complex problem-solving enables us to solve complex Product UX challenges for businesses and provide great User Experiences to their users while also making sure the business needs are met. Thus, making us a specialized Product UX Company.  

We are industry experts in Product Strategy, UX design, and Front-End Engineering with Simplicity, Empathy, and Agility as our guiding principles. Our team consists of a brilliant combination of UX, Product, and Tech with leaders and members coming from premier institutes like IIT, NID, and XLRI with previous work experiences at companies like Oracle, Cordys, Microsoft, etc. 

At f1studioz we are committed to thriving, exploring, expanding, and running a calm workplace. The only constant at f1studioz is “The great work we deliver with the great team and equal opportunities we have.”",,,,,,,,,product strategy,mobile app design,web application design,information technology,ux design,ui design,enterprise ux/ux,ux strategy,ux research,user experience,usability,ui engineering,,,,,,,,,,,,
Leo Burnett,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Eleo-constellation%2Ecom&urlhash=jiae&trk=about_website,7500.5,Advertising Services,Chicago,Illinois,Public Company,,704041,"Leo Burnett is a communications agency powered by its HumanKind operating system, with the belief that creativity, data and technology work together to transform human behavior and drive prosperity for clients.
 
Part of Publicis Communications, Leo Burnett Worldwide is one of the world's largest agency networks with 85 offices and more than 8,000 employees. The global agency works with some of the world's most valued brands including Aldi, Bank of America, Campbell's, Dunkin, Firestone, Jim Beam, Kellogg's, Nintendo, Tillamook and UnitedHealthcare among others. 
 
To learn more about Leo Burnett Worldwide and its rich history of creating iconic brands, visit our site, Facebook page and follow us on Twitter and Instagram via @leoburnett.",,,,,,,,,advertising,marketing,branding,,,,,,,,,,,,,,,,,,,,,
b. the communications agency,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ebthecommunicationsagency%2Ecom%2F&urlhash=DvIn&trk=about_website,30.5,Public Relations and Communications Services,London,England,Privately Held,2004.0,14889,"b. the communications agency is a creative communications consultancy for leading, pioneering, and next generation brands.

Born boutique in 2004, today we offer big picture thinking with the same energy, honesty, and attention to detail, using our global network, industry intelligence, experience, and data to help our clients navigate shifting trends. We believe in the power of brand, delivering beyond the boundaries of traditional PR to drive credible multi-channel impact and positive cultural & behavioural influence.

Our expert sectors include beauty, fashion, lifestyle, health & wellbeing, and food & beverage, representing a diverse portfolio of retail icons, direct-to-consumer pioneers, and emerging social-first disruptor brands.
Established since 2015, in response to demand for sector-specialism, we work alongside and in collaboration with our standalone sister agencies to ensure insight, expertise, and integrated impact.

Summer. is a leading global influencer marketing agency. Our work fosters genuine connections between content creators, talent, and brands to create vibrant and memorable collaborations that nurture and drive measurable growth.

BEING. is a social-first creative studio. We are a strategic and creative partner, helping brands identify the channels, disciplines, and content formats to connect and engage with the audiences that matter, in the all the right places.

For more details on our services please contact hello@b-theagency.com

EU • UK • IRE • USA • AUS • UAE",,,,,,,,,pr,public relations,fashion pr,beauty & grooming pr,health pr,lifestyle pr,food & drink,social media - community management,crisis management,international pr,e-commerce pr,brmanagement,celebrity,blogger outreach,vip seeding,event management,global pr,,,,,,,
Publicis Media,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Epublicisgroupe%2Ecom&urlhash=cv97&trk=about_website,10001.0,Advertising Services,London,England,Public Company,,386714,"Publicis Media harnesses the power of modern media through leading agency brands Dysrupt, Infinite Roar, Publicis Collective, Publicis Health Media, Spark Foundry, Starcom and Zenith, as well as global accelerator PMX; immersive experience group PMCI (inclusive of Picture Motion and RDL Worldwide); and access to integrated platform-based technologies and offerings from CJ, Epsilon and Influential. A key business solution of Publicis Groupe ([Euronext Paris FR0000130577, CAC 40]), Publicis Media’s digital-first, data-driven global solutions deliver client value and drive growth in a platform-powered world. It is present in over 100 countries with over 23,000 employees worldwide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBH London,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ebartleboglehegarty%2Ecom&urlhash=s3tp&trk=about_website,350.5,Advertising Services,London,England,Partnership,1982.0,0,"We believe in the power of difference to make a difference.
 
In this media saturated world, difference has never been more important. Which is why we will continue to make advertising that zags when the world zigs. But advertising is just one part of the total brand experience. We apply BBH creativity across the customer journey for Clients in all four corners of the globe.

Follow BBH here for updates, message our team or visit www.bartleboglehegarty.com to see more of our work.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIUX Trend,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fuiuxtrend%2Ecom&urlhash=XVDs&trk=about_website,30.5,Media Production,,,Privately Held,,0,"The methodology of user experience design is changing the way products and services interact with our lives rapidly. UIUX Trend is a free resource for practitioners and beginners alike to get insights on the latest UI and UX trends, as well as topics on UX research, UX best practices etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
